"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
680,"현대","중형차",85137,"오토","LPG","검정색","N",115,4
890,"현대","중형차",155554,"오토","LPG","쥐색","N",72,2
1420,"현대","중형차",140141,"오토","LPG","흰색","N",76,1
580,"기아","중형차",184114,"오토","LPG","은색","N",126,4
1650,"기아","중형차",101896,"오토","가솔린","검정색","N",43,1
850,"기아","중형차",158160,"오토","가솔린","흰색","Y",79,0
1770,"현대","중형차",55174,"오토","가솔린","검정색","N",41,1
1370,"현대","중형차",87156,"오토","가솔린","쥐색","N",45,0
1280,"현대","중형차",118705,"오토","LPG","흰색","N",54,1
1250,"현대","중형차",115510,"오토","가솔린","검정색","N",57,0
1250,"현대","중형차",109006,"오토","가솔린","검정색","Y",49,1
1410,"현대","중형차",53130,"오토","가솔린","은색","N",92,2
750,"기아","중형차",114523,"오토","가솔린","흰색","N",141,3
270,"현대","중형차",197500,"오토","LPG","은색","N",174,4
1420,"현대","중형차",99249,"오토","LPG","은색","N",53,1
459,"기아","중형차",189081,"오토","LPG","쥐색","Y",122,5
1790,"현대","중형차",51106,"오토","LPG","검정색","N",42,2
1930,"기아","중형차",30615,"오토","가솔린","흰색","N",40,3
480,"현대","중형차",185135,"오토","가솔린","검정색","N",143,3
850,"현대","중형차",122510,"오토","LPG","쥐색","N",118,1
550,"현대","중형차",88945,"오토","가솔린","흰색","N",141,2
880,"현대","중형차",120398,"오토","가솔린","검정색","N",111,4
1399,"기아","중형차",45087,"오토","디젤","쥐색","N",81,0
1430,"기아","중형차",120518,"오토","가솔린","검정색","N",64,3
520,"기아","중형차",193890,"오토","LPG","흰색","Y",82,5
1130,"현대","중형차",75775,"오토","LPG","은색","N",40,1
1550,"기아","중형차",67604,"오토","LPG","흰색","N",36,1
820,"기아","중형차",159947,"오토","LPG","흰색","N",110,1
